Блок,Критичность,Требование,Что есть сейчас,Недочёт в самих проверках,Доказательство
Базовые тесты,High,"Нужен первый базовый smoke-тест, который просто открывает приложение и проверяет ключевые элементы интерфейса","Текущий набор стартует через базовый класс с логином и доп. переменными окружения, а первый явный сценарий уже login/logout","Нет отдельного минимального smoke-теста. Для базового этапа проверки уже завязаны на авторизацию и дополнительные данные, а не только на открытие приложения и базовый UI","BaseTest.java, setUp(); AuthTest.java"
Базовые тесты,Medium,Gradle-конфиг должен соответствовать шаблону этапа,"Gradle собран, но зависимости и scope отличаются от задания","Конфиг расходится с требованиями: junit-bom другой версии, selenium-java подключён как implementation, есть лишние production-зависимости для этого этапа",build.gradle.kts
Базовые тесты,Medium,Gradle-проект должен быть инициализирован как hexlet.code,"В build.gradle.kts задан group = ""hexlet.code""","Корневой Gradle settings-файл с именем проекта отсутствует, поэтому имя root project не зафиксировано как hexlet.code",build.gradle.kts
Users,Medium,"При создании нужно убедиться, что форма открывается корректно",Тест сразу создаёт пользователя и проверяет появление записи в списке,"Нет отдельного ассерта, что форма действительно открылась и поля доступны до отправки","UserTest.java, testUserCreation(); UsersPage.java, openCreatePage()"
Users,Medium,"После редактирования нужно убедиться, что обновления сохранены",После edit() тест проверяет только наличие строки AfterEdit,"Проверка слишком слабая: она не доказывает, что обновилась именно нужная запись, что сохранились остальные поля, и что изменения реально записались в форму/таблицу целиком","UserTest.java, testUserEditing(); UsersPage.java, edit()"
Users,High,"Массовое удаление должно выделять всех пользователей, удалять выбранные записи и подтверждать очистку списка",Тест вызывает bulkDelete() и проверяет только 0 строк,"Тест может пройти на уже пустом списке. Он не создаёт данные, не проверяет факт выделения, и не доказывает, что удаление реально произошло","UserTest.java, testBulkDelete(); UsersPage.java, bulkDelete()"
Statuses,Medium,"При создании нужно убедиться, что форма добавления открывается и показывает нужные поля",Тест создаёт статус и проверяет появление name и slug в списке,Нет отдельной проверки открытия формы и доступности полей name/slug до сабмита,"TaskStatusTest.java, testStatusCreation(); TaskStatusesPage.java, openCreatePage()"
Statuses,Medium,"После редактирования нужно убедиться, что обновления сохранены",После edit() тест проверяет только наличие нового имени,"Проверка не подтверждает достаточно жёстко, что обновилась именно нужная запись и что состояние после сохранения корректно зафиксировано в форме/таблице","TaskStatusTest.java, testStatusEditing(); TaskStatusesPage.java, edit()"
Statuses,High,"Массовое удаление должно выделять все статусы, удалять их и подтверждать пустой список",Тест вызывает bulkDelete() и проверяет только 0 записей,"Та же проблема, что и в Users: тест может пройти на пустой таблице, ничего реально не удалив","TaskStatusTest.java, testBulkDelete(); TaskStatusesPage.java, bulkDelete()"
Labels,Medium,"При создании нужно убедиться, что форма открывается и принимает название",Тест создаёт метку и проверяет только появление записи,"Нет явного ассерта, что форма действительно открылась и поле name стало доступно для ввода до отправки","LabelTest.java, testLabelCreation(); LabelsPage.java, openCreatePage()"
Labels,Medium,"Нужно проверить, что таблица меток корректно отображает записи",Тест проверяет одну созданную строку и значение в колонке Name,"Нет отдельной проверки, что сама таблица загрузилась корректно как список сущностей, а не только что в DOM появился один текст","LabelTest.java, testLabelListDisplay()"
Tasks,High,"Нужно проверить основные фильтры: по статусу, исполнителю и меткам",Есть только фильтр по статусу,Половина требования не покрыта: нет тестов фильтра по исполнителю и меткам,"TaskTest.java, testTaskFiltration()"
Tasks,Medium,"При создании нужно убедиться, что форма отображается корректно и даёт заполнить обязательные поля",Тест создаёт задачу и сразу проверяет появление карточки в колонке,"Нет отдельного ассерта на открытие формы и доступность обязательных полей title, status, assignee до сохранения","TaskTest.java, testTaskCreation(); TasksPage.java, openCreatePage() и fillForm()"
Tasks,Medium,"Нужно открыть список задач и убедиться, что загружаются все записи",Отдельной проверки списка/доски как набора записей нет,"Даже при наличии getTaskCount() тесты не подтверждают, что список задач реально загружен как целостный экран","TaskTest.java; TasksPage.java, getTaskCount()"
Tasks,Medium,Фильтрация должна подтверждать обновление результатов,"После применения фильтра по статусу проверяется только то, что нужная карточка видна","Проверка не убеждается, что нерелевантные карточки исчезли или что список реально обновился, а не просто содержит нужную задачу как и раньше","TaskTest.java, testTaskFiltration()"
Tasks,High,"После удаления задача должна исчезнуть и из списка, и с доски",Тест проверяет только отсутствие карточки в колонке Draft,Нет проверки удаления из списка/общего набора задач. Сейчас подтверждается только исчезновение с доски в одной колонке,"TaskTest.java, testTaskDeletion(); TasksPage.java, deleteTask()"
